"","ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","WarningsEng"
"213","302","Mimosa minutifolia",1,"1040249","Mimosa minutifolia",1,"species","","",NA,"B.L.Rob. & Greenm.","Fabaceae","Mimosa","Mimosa",1,"minutifolia","minutifolia",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161831-2","","Y","Accepted","Mimosa minutifolia","Mimosa minutifolia","B.L.Rob. & Greenm.","1040249","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161831-2","","Fabaceae","1","1","wcvp","0",""
"214","303","Mimosa misera",1,"172383","Mimosa misera",1,"species","","",NA,"Benth.","Fabaceae","Mimosa","Mimosa",1,"misera","misera",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508335-1","","Y","Accepted","Mimosa misera","Mimosa misera","Benth.","172383","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508335-1","","Fabaceae","1","1","wcvp","0",""
"215","304","Mimosa modesta",1,"172384","Mimosa modesta",1,"species","","",NA,"Mart.","Fabaceae","Mimosa","Mimosa",1,"modesta","modesta",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508338-1","","Y","Accepted","Mimosa modesta","Mimosa modesta","Mart.","172384","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508338-1","","Fabaceae","1","1","wcvp","0",""
"216","305","Mimosa mogolensis",1,"167671","Mimosa mogolensis",1,"species","","",NA,"Burkart","Fabaceae","Mimosa","Mimosa",1,"mogolensis","mogolensis",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161834-2","","Y","Synonym","Mimosa aurivillus var. sordescens","Mimosa aurivillus","Benth.","1288232","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161516-2","","Fabaceae","1","1","wcvp","0",""
"217","306","Mimosa mollis",1,"172385","Mimosa mollis",1,"species","","",NA,"Benth.","Fabaceae","Mimosa","Mimosa",1,"mollis","mollis",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508340-1","","Y","Accepted","Mimosa mollis","Mimosa mollis","Benth.","172385","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508340-1","","Fabaceae","1","1","wcvp","0",""
"218","307","Mimosa monancistra",1,"172386","Mimosa monancistra",1,"species","","",NA,"Benth.","Fabaceae","Mimosa","Mimosa",1,"monancistra","monancistra",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508346-1","","Y","Accepted","Mimosa monancistra","Mimosa monancistra","Benth.","172386","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508346-1","","Fabaceae","1","1","wcvp","0",""
"219","308","Mimosa montana montana",0.96021221090168,"1048983","Mimosa montana var. montana",0.96021221090168,"variety","","",NA,"","Fabaceae","Mimosa","Mimosa",1,"montana","montana",1,"","",NA,"var.","montana",0.7,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190509-1","","Y","Accepted","Mimosa montana var. montana","Mimosa montana","","1048983","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190509-1","","Fabaceae","1","1","wcvp","0",""
"220","310","Mimosa montana sandemanii",0.96021221090168,"1369745","Mimosa montana var. sandemanii",0.96021221090168,"variety","","",NA,"Barneby","Fabaceae","Mimosa","Mimosa",1,"montana","montana",1,"","",NA,"var.","sandemanii",0.7,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312703-2","","Y","Accepted","Mimosa montana var. sandemanii","Mimosa montana","Barneby","1369745","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312703-2","","Fabaceae","1","1","wcvp","0",""
"221","311","Mimosa montis-carasae",1,"1232512","Mimosa montis-carasae",1,"species","","",NA,"Barneby","Fabaceae","Mimosa","Mimosa",1,"montis-carasae","montis-carasae",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:313318-2","","Y","Accepted","Mimosa montis-carasae","Mimosa montis-carasae","Barneby","1232512","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:313318-2","","Fabaceae","1","1","wcvp","0",""
"222","312","Mimosa morroensis",1,"176485","Mimosa morroensis",1,"species","","",NA,"Barneby","Fabaceae","Mimosa","Mimosa",1,"morroensis","morroensis",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312849-2","","Y","Accepted","Mimosa morroensis","Mimosa morroensis","Barneby","176485","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312849-2","","Fabaceae","1","1","wcvp","0",""
