scientific_name_(check),reference,amostra_stefany,new_description_stefany,scientific_name_(original),name_phylogeny,genus,specific_Epithet,infraspecific_Epithet,rank,bitetrad_presence (remove?),grains,outline,pollen_arrangement,DU_planes,ornamentation,pore_number,longer_diameter_mean,longer_diameter_min,longer_diameter_max,shorter_diameter_mean,shorter_diameter_min,shorter_diameter_max,pore_diameter_min,pore_diameter_max,pore_diameter_mean,exine_thickness_min,exine_thickness_max,exine_thickness_mean,sexine_thickness_mean,nexine_thickness_mean,voucher,herbarium,herbarium_code,voucher_review,image_of_literature
Mimosa quadrivalvis var. platycarpa,Flores-Cruz - 2006,,,Mimosa roemeriana ,Mimosa_quadrivalvis_platycarpa,Mimosa,quadrivalvis,platycarpa,Variety,-,2,1,0,0,2,,33.000,33.000,33.000,29.000,29.000,29.000,1.300,1.300,1.300,1.300,1.300,1.300,,,B. L. Turner 99-157 / V. L. Cory 59271,TEX / BRIT,,,
Mimosa quadrivalvis var. quadrivalvis,Flores-Cruz - 2006,,,Mimosa quadrivalvis var. quadrivalvis ,Mimosa_quadrivalvis_quadrivalvis,Mimosa,quadrivalvis,quadrivalvis,Variety,-,2,1,0,0,6,,35.000,35.000,35.000,32.000,32.000,32.000,1.300,1.300,1.300,1.300,1.300,1.300,,,M. Flores-Cruz & A. Martínez-Bernal 1315 / J. Dorantes D-5027,CHAPA / MEXU,,,
Mimosa quadrivalvis var. urbaniana,Flores-Cruz - 2006,,,Mimosa quadrivalvis var. urbaniana ,Mimosa_quadrivalvis_urbaniana,Mimosa,quadrivalvis,urbaniana,Variety,-,2,1,0,0,2,,28.000,28.000,28.000,25.000,25.000,25.000,,,,,,,,,Axelrod 2498,NY,,,
Mimosa regnellii var. supersetosa,Caccavari - 2002,,,Mimosa regnelli var. supercetosa ,Mimosa_regnellii_supersetosa,Mimosa,regnellii,supersetosa,Variety,-,2,,,,6,,27.000,,,,,,,,,,,,,,Pereira 8365,RB,,,Mimosa_regnellii-Caccavari-2002-10µm
Mimosa rhodostegia,LiauKang,,x,Mimosa rhodostegia ,Mimosa_rhodostegia,Mimosa,rhodostegia,,Species,-,2,1,0&3,0,0,1,20.700,17.500,22.500,13.400,12.500,15.000,0.500,0.800,0.650,0.500,0.800,0.650,,,M.L. Fonseca 590,SPF,,,
Mimosa robusta,Flores-Cruz - 2006,,,Mimosa robusta ,Mimosa_robusta,Mimosa,robusta,,Species,-,2,1,0,0,6,,47.000,47.000,47.000,39.000,39.000,39.000,1.300,1.300,1.300,1.300,1.300,1.300,,,M. Flores- Cruz & F. Riveros 1370 / M. Flores-Cruz & F. Riveros 1330,CHAPA / CHAPA,,,Mimosa_robusta-Flores-Cruz-2006-10μm / Mimosa_robusta-2-Flores-Cruz-2006-10μm
Mimosa rupigena,LiauKang,,x,Mimosa setosa var. rupigena ,Mimosa_rupigena,Mimosa,rupigena,,Species,-,2,1,0&3,0,0,1,19.500,17.500,21.300,13.400,12.500,15.000,0.450,0.730,0.590,0.500,0.900,0.690,,,"J. Semir, CFCR 179",SPF,,,
Mimosa scabrella,LiauKang / Bauermann et al. 2009,27,,Mimosa scabrella,Mimosa_scabrella,Mimosa,scabrella,,Species,-,2,2,0&5,0,8,1,13.490,12.000,15.601,9.575,8.000,11.905,0.400,0.807,0.604,0.448,0.641,0.772,,,V. C. Souza 39542 / S. Diesel 604,ESA / HERULBRA,HERULBRA 1504,US 3397213 = S. Diesel 1504,
Mimosa schomburgkii,Santos-Silva - 2013,,,Mimosa schomburgkii ,Mimosa_schomburgkii,Mimosa,schomburgkii,,Species,-,1&2,1,4&5,0&1,,,30.000,17.500,43.700,16.100,12.500,20.000,,,,,,,,,E. P. Heringer 13935 / G. E. Valente 841,UEC / UEC,,,Mimosa_schomburgkii-Santos-Silva-2013-SEM_ESCALA / Mimosa_schomburgkii-2-Santos-Silva-2013-1μm
Mimosa sensitiva,Buril - 2010,,,Mimosa sensitiva,Mimosa_sensitiva,Mimosa,sensitiva,,Species,-,2,,5,0,0,1,8.650,7.700,9.600,,,,,,,,,,,,Y. Melo 182 / E. Córdula 266,UFP / UFP,UFP 47358 / UFP 47361,,Mimosa_sensitiva-Buril-2010-5μm / Mimosa_sensitiva-2-Buril-2010-5μm / Mimosa_sensitiva-3-Buril-2010-5μm / Mimosa_sensitiva-Buril-2010-5μm / Mimosa_sensitiva-2-Buril-2010-5μm / Mimosa_sensitiva-3-Buril-2010-5μm
Mimosa sensitiva var. sensitiva,Lima - 2008,,,Mimosa sensitiva var. sensitiva ,Mimosa_sensitiva_sensitiva,Mimosa,sensitiva,sensitiva,Variety,-,2,,0&5,0,0,,8.800,8.000,10.000,8.300,8.000,9.000,,,,1.000,1.000,1.000,,,L.C.L. Lima et al. 181,HUEFS,,,
Mimosa sericantha,Santos-Silva - 2013,,,Mimosa sericantha ,Mimosa_sericantha,Mimosa,sericantha,,Species,-,2,1,3&5,0&1,,,23.000,17.200,31.000,11.900,10.000,13.000,,,,,,,,,G. Arbocz 685 / R. Farias 388,UEC / UEC,,,Mimosa_sericantha-Santos-Silva-2013-10μm / Mimosa_sericantha-2-Santos-Silva-2013-1μm
Mimosa setosissima,LiauKang,,x,Mimosa setosissima ,Mimosa_setosissima,Mimosa,setosissima,,Species,-,2,1,0&5,0,0,1,17.200,15.000,20.000,12.100,10.000,18.700,0.360,0.560,0.460,0.450,0.780,0.510,,,Anderson 10236,SPF,,,
Mimosa setuligera,Lima - 2008,,,Mimosa setuligera ,Mimosa_setuligera,Mimosa,setuligera,,Species,-,2,,5,0,0&6,0&1,12.700,11.500,14.000,10.900,10.000,12.000,,,,1.000,1.000,1.000,,,J.G.A. Nascimento et al. 108,HUEFS,,,Mimosa_setuligera-Lima-2008-5μm
Mimosa somnians var. somnians,Lima - 2008,,,Mimosa somnians var. somnians ,Mimosa_somnians_somnians,Mimosa,somnians,somnians,Variety,-,2,,0&3,0&1,0&6,,20.100,15.000,22.500,12.500,10.000,13.800,,,,1.000,1.000,1.000,,,L.P. Queiroz & N.S. Nascimento 3566,HUEFS,,,
Mimosa sousae,Medina-Acosta-2018,,,Mimosa sousae ,Mimosa_sousae,Mimosa,sousae,,Species,-,2,0&1,5,0,2&3,0,14.670,14.670,14.670,10.330,10.330,10.330,1.630,1.630,1.630,1.040,1.040,1.040,,,A. Martínez-Bernal et al. 918 / C. Martínez R. 96 / C. Martínez R. 594,UAMIZ68085 / MEXU456461 / MEXU447971,,,Mimosa_sousae-Medina-Acosta-2018-5μm / Mimosa_sousae-2-Medina-Acosta-2018-5μm / Mimosa_sousae-3-Medina-Acosta-2018-5μm / Mimosa_sousae-4-Medina-Acosta-2018-5μm / Mimosa_sousae-5-Medina-Acosta-2018-2μm / Mimosa_sousae-6-Medina-Acosta-2018-500nm / Mimosa_sousae-7-Medina-Acosta-2018-0.5μm
Mimosa spirocarpa,Medina-Acosta-2018,,,Mimosa spirocarpa ,Mimosa_spirocarpa,Mimosa,spirocarpa,,Species,present,3,1,5,0,2&3,0&1,13.680,11.700,15.300,10.530,8.910,12.600,0.750,0.750,0.750,0.870,0.870,0.870,,,R. Grether et al. 2492 / A. Espejo et al. 4486 / R. Grether et al. 2487,UAMIZ49764 / UAMIZ47020 / UAMIZ27296,,,Mimosa_spirocarpa-Medina-Acosta-2018-5μm / Mimosa_spirocarpa-2-Medina-Acosta-2018-5μm / Mimosa_spirocarpa-3-Medina-Acosta-2018-5μm / Mimosa_spirocarpa-4-Medina-Acosta-2018-5μm / Mimosa_spirocarpa-5-Medina-Acosta-2018-2μm / Mimosa_spirocarpa-6-Medina-Acosta-2018-2μm / Mimosa_spirocarpa-7-Medina-Acosta-2018-200nm / Mimosa_spirocarpa-8-Medina-Acosta-2018-200nm / Mimosa_spirocarpa-9-Medina-Acosta-2018-200nm
Mimosa spixiana,Santos-Silva - 2013,,,Mimosa spixiana ,Mimosa_spixiana,Mimosa,spixiana,,Species,-,2,1,0&5,0,,,18.200,17.500,22.500,16.000,13.500,18.000,,,,,,,,,A. B. Sampaio 551,UFG,,,Mimosa_spixiana-Santos-Silva-2013-1μm / Mimosa_spixiana-2-Santos-Silva-2013-1μm
Mimosa strobiliflora,LiauKang,31,x,Mimosa strobiflora ,Mimosa_strobiliflora,Mimosa,strobiliflora,,Species,-,2,1,0&3,0&1,6,,20.160,18.320,22.546,13.784,10.783,15.547,0.753,1.495,1.124,0.234,0.431,0.333,,,O.S. Ribas 3600,ESA,,,
Mimosa subenervis,Lima - 2008,,,Mimosa subenervis ,Mimosa_subenervis,Mimosa,subenervis,,Species,-,2,,0,0,0&6,0&1,28.500,26.000,30.000,21.700,19.000,25.000,,,,1.000,1.000,1.000,,,F. França et al. 3089,HUEFS,HUEFS 38506,,Mimosa_subenervis-Lima-2008-5μm
Mimosa subinermis,Flores-Cruz - 2006,,,Mimosa subinermis,Mimosa_subinermis,Mimosa,subinermis,,Species,-,2,1,0,0,,,30.000,30.000,30.000,26.000,26.000,26.000,,,,,,,,,E. Palmer 110,MEXU,,,Mimosa_subinermis-Flores-Cruz-2006-1μm
Mimosa taimbensis,Barth & Yoneshigue - 1966,,,Mimosa taimbensis,Mimosa_taimbensis,Mimosa,taimbensis,,Species,-,2,0,0,0,4,2,19.000,14.700,23.100,11.900,8.400,15.800,1.700,,1.700,,1.700,1.200,,0.800,Reitz & Klein 6992,HBR,HBR 25857,,
Mimosa tandilensis,Caccavari - 2002,,,Mimosa tandilensis ,Mimosa_tandilensis,Mimosa,tandilensis,,Species,-,2,1,,,6,,31.000,,,,,,,,,,,,,,Ruiz Leal 22309,SI,,,Mimosa_tandilensis-Caccavari-2002-10µm
Mimosa tenuiflora,Buril - 2010 / Lima - 2008 / Santos-Silva - 2013 / LiauKang,47,,Mimosa tenuiflora,Mimosa_tenuiflora,Mimosa,tenuiflora,,Species,,2,,0&5,0,0&7,1,20.373,11.000,25.000,14.063,7.800,19.000,0.200,0.510,0.355,0.400,0.610,0.505,,,M.T. Vital 87 / E. Córdula 186 / L.P. de Queiroz 7874 / L.P. Queiroz et al. 7841 / R. M. Harley 18971 / J. S. Silva 837 / J. S. Silva 890 / RP Lyra-Lemos 6998,UFP / UFP / HUEFS / HUEFS / UEC / UEC / UEC / ESA,UFP 47457 / UFP 47465 / HUEFS 72632 / HUEFS 72599 / COR 17709 (J. S. Silva 837) / ESA 99145,,Mimosa_tenuiflora-Buril-2010-5μm / Mimosa_tenuiflora-2-Buril-2010-5μm / Mimosa_tenuiflora-3-Buril-2010-5μm / Mimosa_tenuiflora-Buril-2010-5μm / Mimosa_tenuiflora-2-Buril-2010-5μm / Mimosa_tenuiflora-3-Buril-2010-5μm / Mimosa_tenuiflora-Buril-2010-5μm / Mimosa_tenuiflora-2-Buril-2010-5μm / Mimosa_tenuiflora-3-Buril-2010-5μm / Mimosa_tenuiflora-Lima-2008-5μm / Mimosa_tenuiflora-2-Lima-2008-5μm / Mimosa_tenuiflora-Santos-Silva-2013-1μm / Mimosa_tenuiflora-2-Santos-Silva-2013-1μm
Mimosa tetragona,Flores-Cruz - 2006,,,Mimosa tetragona ,Mimosa_tetragona,Mimosa,tetragona,,Species,-,2,1,0,0,2,,30.000,30.000,30.000,25.000,25.000,25.000,,,,,,,,,J. A. Duke 5691 / R. Van et al. 3121,MO / NY,,,Mimosa_tetragona-Flores-Cruz-2006-1μm
Mimosa trianae,Santos-Silva - 2013,,,Mimosa trianae ,Mimosa_trianae,Mimosa,trianae,,Species,-,1&2,1,,,,,15.500,13.200,20.000,14.000,12.900,15.000,,,,,,,,,D. O. Allen 3326,MO,,,
Mimosa ulbrichiana,Lima - 2008,,,Mimosa ulbrichiana ,Mimosa_ulbrichiana,Mimosa,ulbrichiana,,Species,-,2,,0&3,0&1,0&6,0&1,26.800,25.000,29.000,20.500,19.000,22.000,,,,1.000,1.000,1.000,,,T.S. Nunes et al. 965,HUEFS,,,Mimosa_ulbrichiana-Lima-2008-5μm
Mimosa ulei var. ulei,LiauKang,,x,Mimosa ulei var. ulei ,Mimosa_ulei_ulei,Mimosa,ulei,ulei,Variety,-,2,1,0&5,0,0,1,18.400,17.500,20.000,11.400,7.500,12.500,0.500,0.100,0.300,0.470,0.760,0.570,,,Forzza 386,SPF,,,
Mimosa ursina,Lima - 2008,,,Mimosa ursina,Mimosa_ursina,Mimosa,ursina,,Species,-,0&1,,,,0,0,18.150,15.000,22.000,16.000,15.000,17.000,3.600,3.600,3.600,1.700,1.700,1.700,,,M.L.Guedes et al. PCD5161 / L.P. Queiroz et al. 9175 / T.S. Nunes et al. 1027A,HUEFS / HUEFS / HUEFS,HUEFS 28381 / HUEFS 82501 / HUEFS 111176,,Mimosa_ursina-Lima-2008-5μm / Mimosa_ursina-2-Lima-2008-5μm / Mimosa_ursina-3-Lima-2008-5μm / Mimosa_ursina-4-Lima-2008-5μm / Mimosa_ursina-5-Lima-2008-5μm / Mimosa_ursina-6-Lima-2008-5μm / Mimosa_ursina-7-Lima-2008-5μm / Mimosa_ursina-8-Lima-2008-5μm / Mimosa_ursina-9-Lima-2008-5μm
Mimosa velloziana,Lima - 2008,,,Mimosa velloziana ,Mimosa_velloziana,Mimosa,velloziana,,Species,-,2,,0&5,0,0,,10.400,9.500,11.000,9.900,9.000,11.000,,,,0.500,0.500,0.500,,,L.P. Queiroz et al. 9185,HUEFS,,,
Mimosa verrucosa,Lima - 2008 / Santos-Silva - 2013,,,Mimosa verrucosa,Mimosa_verrucosa,Mimosa,verrucosa,,Species,-,2,1,0,0,0&6,,19.100,15.600,22.500,13.650,8.000,17.400,,,,1.000,1.000,1.000,,,K.R.B. Leite et al. 397 / J. S. Silva 827 / J. S. Silva and M. C. Abreu 877,HUEFS / UEC / UEC,HUEFS 75510 / COR 16793 (J. S. Silva 827),,Mimosa_verrucosa-Lima-2008-5μm / Mimosa_verrucosa-2-Lima-2008-5μm / Mimosa_verrucosa-Santos-Silva-2013-1μm / Mimosa_verrucosa-2-Santos-Silva-2013-1μm
Mimosa watsonii,Medina-Acosta-2018,,,Mimosa watsonii ,Mimosa_watsonii,Mimosa,watsonii,,Species,-,4,1,2,0,2&3,0,20.700,20.700,20.700,14.540,14.540,14.540,0.860,0.860,0.860,0.750,0.750,0.750,,,E. Martínez S. et al. 5797 / R. Torres C. et al. 7615 / E. Ventura et al. 2660,UAMIZ10551 / UAMIZ16109 / UAMIZ30668,,,Mimosa_watsonii-Medina-Acosta-2018-10μm / Mimosa_watsonii-2-Medina-Acosta-2018-10μm / Mimosa_watsonii-3-Medina-Acosta-2018-10μm / Mimosa_watsonii-4-Medina-Acosta-2018-10μm / Mimosa_watsonii-5-Medina-Acosta-2018-2μm / Mimosa_watsonii-6-Medina-Acosta-2018-2μm / Mimosa_watsonii-7-Medina-Acosta-2018-10μm / Mimosa_watsonii-8-Medina-Acosta-2018-1μm / Mimosa_watsonii-9-Medina-Acosta-2018-2μm / Mimosa_watsonii-10-Medina-Acosta-2018-500nm / Mimosa_watsonii-11-Medina-Acosta-2018-200nm
Mimosa xavantinae,Santos-Silva - 2013,,,Mimosa xavantinae ,Mimosa_xavantinae,Mimosa,xavantinae,,Species,-,2,1,,,,,14.500,10.000,16.700,13.000,9.000,15.000,,,,,,,,,W. R. Anderson 9668,NY,,,
Mimosa xiquexiquensis,Lima - 2008,,,Mimosa xiquexiquensis ,Mimosa_xiquexiquensis,Mimosa,xiquexiquensis,,Species,-,2,,0&5,0,0&6,0&1,16.600,15.000,18.800,13.000,11.300,15.000,,,,0.500,0.500,0.500,,,L.P. Queiroz et al. 7909,HUEFS,,,Mimosa_xiquexiquensis-Lima-2008-5μm / Mimosa_xiquexiquensis-2-Lima-2008-5μm / Mimosa_xiquexiquensis-3-Lima-2008-5μm
Naiadendron duckeanum,Guinet & Caccavari - 1992,,,Stryphnodendron duckeanum ,Naiadendron_duckeanum,Naiadendron,duckeanum,,Species,-,5,1&2,,,4&6,,36.600,36.600,36.600,26.300,26.300,26.300,1.400,1.900,1.650,0.800,1.000,0.900,,,"Ducke s.n. (9.06.1930, isotype) / Monteiro et al. 929",RFA / INPA,,,Stryphnodendron_duckeanum-1-Guinet & Caccavari-1992-x1000 / Stryphnodendron_duckeanum-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_duckeanum-3-Guinet & Caccavari-1992-x1000 / Stryphnodendron_duckeanum-4-Guinet & Caccavari-1992-x1000
Neptunia prostrata,LiauKang,24,,Neptunia oleracea ,Neptunia_prostrata,Neptunia,prostrata,,Species,-,0,,,,,,46.130,41.873,51.732,49.881,46.445,55.588,6.549,11.002,8.776,2.460,3.439,2.950,,,J. Paula-Souza 5201 (ESA 90819),ESA,,,
Parapiptadenia blanchetii,Caccavari - 2002 / Ribeiro - 2018,,,Parapiptadenia blanchetii ,Parapiptadenia_blanchetii,Parapiptadenia,blanchetii,,Species,-,5,2,,,4,,31.275,25.000,47.500,26.300,22.500,30.000,,,,1.000,1.000,1.000,,,Blanchet Typus! 3295 / Grupo Pedra do Cavalo 1096 / Lemos 56 / Melo 1410,RB / HUEFS / HUEFS / HUEFS,NY 3202 / HUEFS 1090 / HUEFS 2750 / HUEFS 24846,,Parapiptadenia_blanchetii-Caccavari-2002-10µm / Parapiptadenia_blanchetii-Ribeiro-2018-10μm / Parapiptadenia_blanchetii-2-Ribeiro-2018-10μm / Parapiptadenia_blanchetii-3-Ribeiro-2018-10μm
Parapiptadenia excelsa,Caccavari - 2002,,,Parapiptadenia excelsa ,Parapiptadenia_excelsa,Parapiptadenia,excelsa,,Species,-,4,,,,,,36.000,,,,,,,,,,,,,,J. Santos Biloni 4016,SI,,,Parapiptadenia_excelsa-Caccavari-2002-10µm
Parapiptadenia pterosperma,Caccavari - 2002 / Freitas-Cruz - 2018,,,Parapiptadenia pterosperma / Piptadenia pterosperma,Parapiptadenia_pterosperma,Parapiptadenia,pterosperma,,Species,,5,0,,,3,,37.550,31.500,40.000,29.100,25.000,35.000,,,,,,2.000,1.000,1.000,Campos Porto 2481 / RD Ribeiro 62 & HG Dantas / H Lima et al. 2796,RB / RB / RB,RB 29706 / RB 406389 / RB 258410,,Piptadenia_pterosperma-Cruz-2018-5μm / Piptadenia_pterosperma-2-Cruz-2018-5μm / Piptadenia_pterosperma-3-Cruz-2018-5μm
Parapiptadenia rigida,LiauKang,Predio,,Parapiptadenia rigida ,Parapiptadenia_rigida,Parapiptadenia,rigida,,Species,-,5,,,,,,,,,,,,,,,,,,,,,SPSC,,,
Parapiptadenia zehntneri,Caccavari - 2002 / Buril - 2010 / Ribeiro - 2018,,,Parapiptadenia zehntneri,Parapiptadenia_zehntneri,Parapiptadenia,zehntneri,,Species,,5,2,2,,0&4,1&3,30.400,23.800,37.500,26.000,20.000,32.500,,,,1.000,1.100,1.050,,,Harley 16198 / J.R.Lemos 262 / Bandeira 82 / Conceição 2536 / Guedes 16085,"RB / IPA , HUEFS / HUEFS / HUEFS / HUEFS","RB 196355 / IPA 69464, HUEFS 95711 / HUEFS 19021 / HUEFS 127855 / HUEFS 170315",,Parapiptadenia_zehntneri-Buril-2010-10μm / Parapiptadenia_zehntneri-2-Buril-2010-10μm / Parapiptadenia_zehntneri-3-Buril-2010-10μm / Parapiptadenia_zehntnerii-Ribeiro-2018-10μm / Parapiptadenia_zehntnerii-2-Ribeiro-2018-10μm / Parapiptadenia_zehntnerii-3-Ribeiro-2018-10μm / Parapiptadenia_zehntnerii-4-Ribeiro-2018-10μm
Piptadenia adiantoides,LiauKang / Caccavari - 2002 / Ribeiro - 2018,14,,Piptadenia adiantoides,Piptadenia_adiantoides,Piptadenia,adiantoides,,Species,present,3&4,2,5,0,4,,22.590,18.000,26.000,18.975,12.255,24.000,0.609,0.934,0.772,0.467,0.635,0.551,,,V. C. Souza 29980 / G. Hatschbach 47692 / Lopes 792 / Oliveira 599 / Pirani 5029,ESA / RB / HUEFS / HUEFS / HUEFS,ESA 88363 / RB 226098 / HUEFS 111028 / HUEFS 45655 / HUEFS 68930,,Piptadenia_adiantoides-Ribeiro-2018-10μm / Piptadenia_adiantoides-2-Ribeiro-2018-10μm
Piptadenia affinis,Barth & Yoneshigue - 1966,,,Pityrocarpa affinis,Piptadenia_affinis,Piptadenia,affinis,,Species,present,3,,5,0&1,4,0,31.500,27.300,35.700,23.100,18.900,27.300,3.700,,3.700,,,1.700,,0.790,Reitz e Klein 8037,HBR,HBR 25858,,
Piptadenia anolidurus,Caccavari - 2002,,,Piptadenia anolidorus ,Piptadenia_anolidurus,Piptadenia,anolidurus,,Species,,2&3,2,,,,,25.000,,,,,,,,,,,,,,Kirkbride Jr. & Lleras 2767,K,,,Piptadenia_anolidurus-Caccavari-2002-10µm
