scientific_name_(check),reference,amostra_stefany,new_description_stefany,scientific_name_(original),name_phylogeny,genus,specific_Epithet,infraspecific_Epithet,rank,bitetrad_presence (remove?),grains,outline,pollen_arrangement,DU_planes,ornamentation,pore_number,longer_diameter_mean,longer_diameter_min,longer_diameter_max,shorter_diameter_mean,shorter_diameter_min,shorter_diameter_max,pore_diameter_min,pore_diameter_max,pore_diameter_mean,exine_thickness_min,exine_thickness_max,exine_thickness_mean,sexine_thickness_mean,nexine_thickness_mean,voucher,herbarium,herbarium_code,voucher_review,image_of_literature
Piptadenia floribunda,Caccavari - 2002,,,Piptadenia floribunda ,Piptadenia_floribunda,Piptadenia,floribunda,,Species,-,5,1,,,,,42.000,,,,,,,,,,,,,,Mori & Bolten 8463,K,,,
Piptadenia fruticosa,Caccavari - 2002,,,Piptadenia fruticosa ,Piptadenia_fruticosa,Piptadenia,fruticosa,,Species,,3&4,2,,,,,19.000,,,,,,,,,,,,,,A. Glaziou 3722,K,,,
Piptadenia gonoacantha,Caccavari - 2002,,,Piptadenia gonoacantha ,Piptadenia_gonoacantha,Piptadenia,gonoacantha,,Species,-,4,2,,,,,38.000,,,,,,,,,,,,,,De Souza 15,RB,,,
Piptadenia irwinii,Ribeiro - 2018,,,Piptadenia irwinii,Piptadenia_irwinii,Piptadenia,irwinii,,Species,-,5,,2,,4,,23.133,17.500,25.000,18.733,15.000,25.000,,,,1.000,1.000,1.000,,,Jardim 3303 / Queiroz 12652 / Queiroz 12887,HUEFS / HUEFS / HUEFS,CEPEC 89901 / HUEFS 118159 / HUEFS 118384,,Piptadenia_irwinii-Ribeiro-2018-10μm / Piptadenia_irwinii-2-Ribeiro-2018-10μm / Piptadenia_irwinii-3-Ribeiro-2018-10μm
Piptadenia irwinii var. irwinii,Caccavari - 2002,,,Piptadenia irwinii var. irwinii ,Piptadenia_irwinii_irwinii,Piptadenia,irwinii,irwinii,Variety,,4,2,,,,,26.000,,,,,,,,,,,,,,Irwin et al. 3117,K,,,
Piptadenia irwinii var. unijuga,Caccavari - 2002,,,Piptadenia irwinii var. unijuga ,Piptadenia_irwinii_unijuga,Piptadenia,irwinii,unijuga,Variety,,4,2,,,,,25.000,,,,,,,,,,,,,,S. A. Movi 9501,K,,,
Piptadenia killipii,Caccavari - 2002,,,Piptadenia killipii ,Piptadenia_killipii,Piptadenia,killipii,,Species,,3&4,2,,,,,20.000,,,,,,,,,,,,,,Klug 4333,SI,,,
Piptadenia micracantha,Caccavari - 2002,,,Piptadenia macrantha ,Piptadenia_micracantha,Piptadenia,micracantha,,Species,-,4,2,,,,,19.000,,,,,,,,,,,,,,Ram. et Rodrigues 1163,RB,,,
Piptadenia minutiflora,Caccavari - 2002,,,Piptadenia minutiflora ,Piptadenia_minutiflora,Piptadenia,minutiflora,,Species,-,5,1&2,,,,,50.000,,,,,,,,,,,,,,Rodri. et Chagas 2901,RB,,,Piptadenia_minutiflora-Caccavari-2002-10µm
Piptadenia paniculata,LiauKang,50,,Piptadenia paniculata ,Piptadenia_paniculata,Piptadenia,paniculata,,Species,-,5,,,,,,35.592,30.910,42.080,25.699,24.103,27.080,0.635,0.990,0.813,0.418,0.669,0.544,,,H. C. Lima 4357,ESA,NY 1144695,,
Piptadenia polyptera,Caccavari - 2002,,,Piptadenia polyptera ,Piptadenia_polyptera,Piptadenia,polyptera,,Species,,3,2,,,,,25.000,,,,,,,,,,,,,,,,,,Piptadenia_polyptera-Caccavari-2002-10µm
Piptadenia retusa,Caccavari - 2002,,,Piptadenia flava,Piptadenia_retusa,Piptadenia,retusa,,Species,,4,2,,,,,23.000,,,,,,,,,,,,,,Harley et al 18967,RB,,,
Piptadenia santosii,Caccavari - 2002,,,Piptadenia santosii ,Piptadenia_santosii,Piptadenia,santosii,,Species,-,4,2,,,,,50.000,,,,,,,,,,,,,,T. S. dos Santos 2236,K,,,
Piptadenia stipulacea,Caccavari - 2002 / Buril - 2010,,,Piptadenia stipulacea,Piptadenia_stipulacea,Piptadenia,stipulacea,,Species,-,4,1&2,2,,0,0&1,23.400,22.500,30.000,19.300,17.500,21.200,,,,1.000,1.000,1.000,,,Collares et Dutra 140 / E. Córdula 261 / Y. Melo 183,RB / UFP / UFP,RB 233898 / UFP 47440 / UFP 47436,,Piptadenia_stipulacea-Buril-2010-5μm / Piptadenia_stipulacea-2-Buril-2010-5μm / Piptadenia_stipulacea-3-Buril-2010-5μm / Piptadenia_stipulacea-Buril-2010-5μm / Piptadenia_stipulacea-2-Buril-2010-5μm / Piptadenia_stipulacea-3-Buril-2010-5μm
Piptadenia trisperma,Caccavari - 2002 / Freitas-Cruz - 2018,,,Piptadenia trisperma ,Piptadenia_trisperma,Piptadenia,trisperma,,Species,present,3,2,,,3,,26.250,27.500,27.500,21.300,17.500,25.000,,,,,,,1.000,1.000,P. Lewis et H. 1191 / LTF Menezes et al. s.n.,RB / RBR,RB 222215 / RBR 8163,,Piptadenia_trisperma-Cruz-2018-10μm / Piptadenia_trisperma-2-Cruz-2018-10μm / Piptadenia_trisperma-3-Cruz-2018-5μm / Piptadenia_trisperma-4-Cruz-2018-5μm
Pityrocarpa brenanii,LiauKang,79,,Pseudopiptadenia brenanii,Pityrocarpa_brenanii,Pityrocarpa,brenanii,,Species,-,4&5,,,,4,,33.759,27.500,47.500,27.993,19.248,37.500,0.418,0.669,0.544,0.233,0.467,0.350,,,A. C. Sevilha 6195 / Cardoso 581 / Guedes 16722 / Neves 263,CEN / HUEFS / HUEFS / HUEFS,CEN 103168 / HUEFS 96970 / HUEFS 159209 / HUEFS 162090,,Pseudopiptadenia_brenanii-Ribeiro-2018-10μm / Pseudopiptadenia_brenanii-2-Ribeiro-2018-10μm / Pseudopiptadenia_brenanii-3-Ribeiro-2018-10μm
Pityrocarpa inaequalis,Caccavari - 2002,,,Pseudopiptadenia inaequalis ,Pityrocarpa_inaequalis,Pityrocarpa,inaequalis,,Species,,4,2,,,,,43.000,,,,,,,,,,,,,,M. de Lima 2293,RB,,,
Pityrocarpa leptostachya,LiauKang,,,Pseudopiptadenia leptostachya ,Pityrocarpa_leptostachya,Pityrocarpa,leptostachya,,Species,-,5,,,,,,,,,,,,,,,,,,,,D. Sucre 7380,ESA,ESA 116275,,
Pityrocarpa moniliformis,Buril - 2010 / Ribeiro - 2018 / Guinet & Caccavari - 1992,,,Pityrocarpa moniliformis / Stryphnodendron consimile ,Pityrocarpa_moniliformis,Pityrocarpa,moniliformis,,Species,absent,3,1&2,2,0,4&6,0&1&2,21.817,17.000,30.800,18.250,13.000,34.100,1.800,1.800,1.800,1.000,1.000,1.000,,,M.T. Vital 72 / E. Córdula 24 / Eiten 10840 / Ferreira 17 / Melo 7518 / Ramalho 52,UFP / UFP / HUEFS / HUEFS / HUEFS / RFA,UFP 47448 / UFP 47441 / HUEFS 146824 / HUEFS 118108 / HUEFS 157870 / RFA 17173,,Pityrocarpa_moniliformis-Buril-2010-5μm / Pityrocarpa_moniliformis-2-Buril-2010-5μm / Pityrocarpa_moniliformis-3-Buril-2010-5μm / Pityrocarpa_moniliformis-Buril-2010-5μm / Pityrocarpa_moniliformis-2-Buril-2010-5μm / Pityrocarpa_moniliformis-3-Buril-2010-5μm / Pityrocarpa_moniliformis-Ribeiro-2018-10μm / Stryphnodendron_consimile-1-Guinet & Caccavari-1992-x1000 / Stryphnodendron_consimile-2-Guinet & Caccavari-1992-x2100 / Stryphnodendron_consimile-3-Guinet & Caccavari-1992-x10600
Pityrocarpa obliqua,Caccavari - 2002 / Ribeiro - 2018,,,Piptadenia obliqua subs. obliqua / Pityrocarpa obliqua subs. brasiliensis ,Pityrocarpa_obliqua,Pityrocarpa,obliqua,,Species,absent,3&5,2,,,0,,30.600,27.500,35.000,26.000,22.500,27.500,,,,1.000,1.000,1.000,,,Hinton 10321 / Carneiro-Torres 310,K / HUEFS,HUEFS 105931,Carneiro-Torres 310 = Pityrocarpa obliqua,Pityrocarpa_obliqua_subsp.brasiliensis-Ribeiro-2018-10μm / Pityrocarpa_obliqua_subsp.brasiliensis-2-Ribeiro-2018-10μm
Pityrocarpa obliqua subsp. brasiliensis,Ribeiro - 2018,,,Pityrocarpa obliqua subs. brasiliensis ,Pityrocarpa_obliqua_brasiliensis,Pityrocarpa,obliqua,brasiliensis,Subspecies,-,5,,,,0,,32.150,25.000,37.500,25.500,22.500,27.500,,,,,,,,,Queiroz 12903 / Silva-Castro 901,HUEFS / HUEFS,HUEFS 118400 / HUEFS 105930,,
Pityrocarpa schumanniana,Caccavari - 2002,,,Pseudopiptadenia schumanniana ,Pityrocarpa_schumanniana,Pityrocarpa,schumanniana,,Species,-,5,2,,,,,42.000,,,,,,,,,,,,,,M. P. M. de Lima et al. 27,RB,,,Pseudopiptadenia_schumanniana-Caccavari-2002-10µm
Senegalia nigrescens,Kenrick & Knox - 1982,,,Senegalia nigrescens ,Senegalia_nigrescens,Senegalia,nigrescens,,Species,-,5,,,,,,,,,,,,,,,,,,,,,,,,
Stryphnodendron adstringens,Guinet & Caccavari - 1992 / LiauKang,17,,Stryphnodendron adstringens,Stryphnodendron_adstringens,Stryphnodendron,adstringens,,Species,-,5,1&2,,,4&6,,31.678,24.600,38.269,23.114,20.046,26.361,0.226,1.900,1.063,0.202,1.000,0.605,,,"Assis 298 / Glaziou 21030 / Hammar 5602 / Maguire et al. 56523 / V. C. Souza 21319, L. Capellari Jr., J. Paula-Souza, F. F. Mazine",RB / P / RFA / NY / ESA,RB 226406 / P02734292 / RFA 19677 / NY 00934670 / ESA 48922,,Stryphnodendron_adstringens-1-Guinet & Caccavari-1992-x1000 / Stryphnodendron_adstringens-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_adstringens-3-Guinet & Caccavari-1992-x1000 / Stryphnodendron_adstringens-4-Guinet & Caccavari-1992-x1000 / Stryphnodendron_adstringens-5-Guinet & Caccavari-1992-x1000 / Stryphnodendron_adstringens-6-Guinet & Caccavari-1992-x1000 / Stryphnodendron_adstringens-7-Guinet & Caccavari-1992-x1000 / Stryphnodendron_adstringens-8-Guinet & Caccavari-1992-x1000 / Stryphnodendron_adstringens-9-Guinet & Caccavari-1992-x10000
Stryphnodendron cristalinae,Guinet & Caccavari - 1992,,,Stryphnodendron cristalinae ,Stryphnodendron_cristalinae,Stryphnodendron,cristalinae,,Species,-,5,1&2,,,6,,34.100,34.100,34.100,27.000,27.000,27.000,1.600,2.000,1.800,0.800,1.300,1.050,,,Heringer & Rizzini 11128,MG,,,
Stryphnodendron gracile,Guinet & Caccavari - 1992,,,Stryphnodendron gracile ,Stryphnodendron_gracile,Stryphnodendron,gracile,,Species,-,5,1&2,,,6,,30.800,30.800,30.800,34.100,34.100,34.100,1.800,1.900,1.850,1.000,1.000,1.000,,,Heringer 7369 / Heringer et al. 7361,RB / RB,,,
Stryphnodendron platyspicum,Guinet & Caccavari - 1992 / LiauKang,55,,Stryphnodendron platyspicum / Stryphnodendron pumillum ,Stryphnodendron_platyspicum,Stryphnodendron,platyspicum,,Species,-,5,1&2,,,6,,31.854,26.360,34.083,21.277,19.052,25.500,0.418,2.000,1.209,0.209,1.300,0.755,,,Glaziou 21031 / Irwin et al. 8017 / Martinelli et al. 7419 / Ratter et al. 4222 / G. Pereira-Silva 5558,MPU / NY / RB / K / ESA,R-Tipos 8377 (Glaziou 21031) / UB 40264 (Martinelli et al. 7419) / UB 40271 (Ratter et al. 4222) / CEN 43846,,Stryphnodendron_platyspicum-Guinet & Caccavari-1992-x10600
Stryphnodendron polyphyllum,Guinet & Caccavari - 1992,,,Stryphnodendron polyphyllum / Stryphnodendron polyphyllum var. villosum ,Stryphnodendron_polyphyllum,Stryphnodendron,polyphyllum,,Species,-,5,1&2,,,4&6,,32.400,24.600,36.600,34.100,24.200,24.200,1.400,1.900,1.650,0.800,1.000,0.900,,,Macedo 528 / Martius 1102 / Pereira et al. 9510  / Dobereiner 74 (var. villosum) / Miers s.n. (var. villosum),US / BR / RFA / RFA / P,RFA 5431 (Dobereiner 74) / P02735168 (Miers s.n.),Dobereiner 74 (var. villosum) and Miers s.n. (var. villosum) = Stryphnodendron polyphyllum,Stryphnodendron_polyphyllum_var. villosum-1-Guinet & Caccavari-1992-x1000 / Stryphnodendron_polyphyllum_var. villosum-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_polyphyllum_var. villosum-3-Guinet & Caccavari-1992-x1000
Stryphnodendron polyphyllum var. villosum,Guinet & Caccavari - 1992,,,Stryphnodendron humile ,Stryphnodendron_polyphyllum_villosum,Stryphnodendron,polyphyllum,villosum,Variety,,5,1&2,,,4&6,,31.000,31.000,31.000,34.100,23.400,23.400,2.300,2.300,2.300,0.800,1.000,0.900,,,Heringer 7783,RFA,RFA 18438,,
Vachellia farnesiana,LiauKang,20,,Vachellia farnesiana ,Vachellia_farnesiana,Vachellia,farnesiana,,Species,-,5,,,,,,39.587,35.903,42.614,36.244,29.721,39.990,1.124,2.088,1.606,0.861,1.476,1.169,,,J. Paula-Souza 7838,ESA,ESA 98949,,
