scientific_name_(check),reference,amostra_stefany,new_description_stefany,scientific_name_(original),name_phylogeny,genus,specific_Epithet,infraspecific_Epithet,rank,grains,outline,pollen_arrangement,DU_planes,ornamentation,pore_number,shorter_diameter_min,shorter_diameter_max,shorter_diameter_mean,longer_diameter_min,longer_diameter_max,longer_diameter_mean,pore_diameter_min,pore_diameter_max,pore_diameter_mean,exine_thickness_min,exine_thickness_max,exine_thickness_mean,sexine_thickness_mean,nexine_thickness_mean,voucher,herbarium,herbarium_code,voucher_review,image_of_literature
Mimosa calcicola,Medina-Acosta-2018,,,Mimosa calcicola,Mimosa_calcicola,Mimosa,calcicola,,Species,8,elliptical,rhomboidal&tetragonal,multiplanar,microverrucate&rugulate,3&4,11.7,15.120,12.880,15.300,18.540,16.730,0.800,0.800,0.800,0.900,0.900,0.900,,,S. A. MontÃ£no Arias et al. 15 / A. MartÃ­nez-Bernal et al. 277 / A. MartÃ­nez-Bernal et al. 266,UAMIZ65758 / UAMIZ68082 / -,,,Mimosa_calcicola-Medina-Acosta-2018-10Î¼m / Mimosa_calcicola-2-Medina-Acosta-2018-2Î¼m / Mimosa_calcicola-3-Medina-Acosta-2018-2Î¼m / Mimosa_calcicola-4-Medina-Acosta-2018-2Î¼m / Mimosa_calcicola-5-Medina-Acosta-2018-200nm / Mimosa_calcicola-6-Medina-Acosta-2018-200nm
Mimosa campicola var. campicola,Lima - 2008,,,Mimosa campicola var. campicola,Mimosa_campicola_campicola,Mimosa,campicola,campicola,Variety,4,,decussate&rhomboidal,multiplanar&uniplanar,areolate&verrucate,3&4,21,27.000,23.700,25.500,32.000,29.500,,,,1.000,1.000,1.000,,,A.M. Carvalho & J. Saunders 2886,HUEFS,,,
Mimosa candollei,LiauKang/ Buril - 2010 / Lima - 2008,23,,Mimosa candollei  / Mimosa quadrivalvis var. leptocarpa,Mimosa_candollei,Mimosa,candollei,,Species,4,elliptical&oval,rhomboidal&tetrahedral,multiplanar&uniplanar,areolate&verrucate,3&4,23.09,35.500,29.370,29.380,41.000,35.674,0.320,0.650,0.485,0.230,0.360,0.295,0.567,0.567,"C. Delfini 234, G. O. Romao & J. Rigon / S. Vieira 135, A. O. Araujo, R. Tsuji e G. S. C. Almeida / D.A. AraÃºjo 207 / E. CÃ³rdula 30 / E. CÃ³rdula 275 / L.C.L. Lima et al. 182",ESA / UFP / UFP / UFP / HUEFS,ESA 120662 / ESA 85866 / UFP 47363 / UFP 47362 / UFP 47419 / HUEFS 97664,,"Mimosa_quadrivalvis_var. leptocarpa-Buril-2010-5Î¼m / Mimosa_quadrivalvis_var. leptocarpa-2-Buril-2010-5Î¼m / Mimosa_quadrivalvis_var. leptocarpa-3-Buril-2010-5Î¼m / Mimosa_quadrivalvis_var. leptocarpa-Buril-2010-5Î¼m / Mimosa_quadrivalvis_var. leptocarpa-2-Buril-2010-5Î¼m / Mimosa_quadrivalvis_var. leptocarpa-3-Buril-2010-5Î¼m / Mimosa_quadrivalvis_var. leptocarpa-Buril-2010-5Î¼m / Mimosa_quadrivalvis_var. leptocarpa-2-Buril-2010-5Î¼m / Mimosa_quadrivalvis_var. leptocarpa-3-Buril-2010-5Î¼m / Mimosa_quadrivalvis_var. leptocarpa-Lima-2008-5Î¼m / Mimosa_quadrivalvis_var. leptocarpa-2-Lima-2008-2,5Î¼m"
Mimosa capito,LiauKang,,x,Mimosa capito,Mimosa_capito,Mimosa,capito,,Species,4,elliptical,decussate,multiplanar,areolate,4,11.2,13.800,12.700,17.700,22.500,20.100,,,,,,,,,J.A. Ratter 2619,SPF,,,
Mimosa ceratonia,Freitas-Cruz - 2018,,,Mimosa ceratonia,Mimosa_ceratonia,Mimosa,ceratonia,,Species,16,,,,rugulate,,17.5,25.000,20.600,22.500,22.750,23.500,,,,2.000,2.000,2.000,1.000,1.000,E Santos 1500 & E Fromm 1478,HB,,,Mimosa_ceratonia-Cruz-2018-5Î¼m / Mimosa_ceratonia-2-Cruz-2018-5Î¼m / Mimosa_ceratonia-3-Cruz-2018-5Î¼m
Mimosa ceratonia var. pseudo-obovata,LiauKang,35,x,Mimosa ceratonia var. pseudo-obovata,Mimosa_ceratonia_pseudoobovata,Mimosa,ceratonia,pseudo-obovata,Variety,4&8,elliptical,tetrahedral,multiplanar,areolate&rugulate,,10.051,12.472,10.843,13.237,14.876,14.130,0.202,0.364,0.283,0.202,0.364,0.283,,,"H. C. de Lima 2797 (ESA 121223, RB 258411)",ESA,,,
Mimosa claussenii var. claussenii,LiauKang,,x,Mimosa claussenii var. claussenii,Mimosa_claussenii_claussenii,Mimosa,claussenii,claussenii,Variety,4,elliptical,decussate&tetragonal&tetrahedral,multiplanar,areolate,4,12.5,15.000,12.900,12.500,20.000,19.800,,,,,,,,,Pirani 1559,SPF,,,
Mimosa claussenii var. claviceps,LiauKang,,x,Mimosa claussenii var. claviceps,Mimosa_claussenii_claviceps,Mimosa,claussenii,claviceps,Variety,4,elliptical,decussate,multiplanar,areolate,4,,,14.300,,,23.000,,,,,,,,,T.B. Cavalcante 1323,SPF,,,
Mimosa cordistipula,Lima - 2008,,,Mimosa cordistipula,Mimosa_cordistipula,Mimosa,cordistipula,,Species,4,,decussate,multiplanar,areolate&verrucate,,21,23.000,21.700,25.000,28.000,26.100,,,,1.000,1.000,1.000,,,A. Oliveira et al. 86,HUEFS,,,Mimosa_cordistipula-Lima-2008-5Î¼m / Mimosa_cordistipula-2-Lima-2008-5Î¼m
Mimosa coruscocaesia,Santos-Silva - 2013,,,Mimosa coruscocaesia,Mimosa_coruscocaesia,Mimosa,coruscocaesia,,Species,4,elliptical,rhomboidal,uniplanar,,,12.5,15.600,13.800,17.800,22.500,19.700,,,,,,,,,G. Hatschbach 39486 / M. F. Simon 324,MBM / UB,,,Mimosa_coruscocaesia-Santos-Silva-2013-10Î¼m / Mimosa_coruscocaesia-2-Santos-Silva-2013-10Î¼m
Mimosa craspedisetosa,Santos-Silva - 2013,,,Mimosa craspedisetosa / Mimosa ferricola,Mimosa_craspedisetosa,Mimosa,craspedisetosa,,Species,4,elliptical,rhomboidal,uniplanar,,,8,18.600,12.200,10.500,23.300,15.250,,,,,,,,,A. Fuentes and G. Navarro 2195 / G. Hatschbach 60807,NY / MBM,,,Mimosa_craspedisetosa-Santos-Silva-2013-10Î¼m
Mimosa cruenta,LiauKang,46,x,Mimosa cruenta,Mimosa_cruenta,Mimosa,cruenta,,Species,4,elliptical,tetrahedral,multiplanar,microverrucate&rugulate,,8.564,10.635,9.537,12.853,17.137,14.905,0.660,0.901,0.781,0.104,0.209,0.157,,,JA Jarenkow 3672 (ESA 60484),ESA,,,
Mimosa daleoides,Medina-Acosta-2018,,,Mimosa daleoides,Mimosa_daleoides,Mimosa,daleoides,,Species,4,,tetragonal,uniplanar,verrucate,4&5,27,37.800,31.270,27.900,38.700,32.540,3.550,,3.550,1.570,1.570,1.570,,,E. Barbosa 2663 / E. Zardini et al. 15387 / W. Hahn et al. 894,MEXU1312835 / MEXU632254 / MEXU452097,,,Mimosa_daleoides-Medina-Acosta-2018-10Î¼m / Mimosa_daleoides-2-Medina-Acosta-2018-10Î¼m / Mimosa_daleoides-3-Medina-Acosta-2018-10Î¼m / Mimosa_daleoides-4-Medina-Acosta-2018-10Î¼m / Mimosa_daleoides-5-Medina-Acosta-2018-5Î¼m / Mimosa_daleoides-6-Medina-Acosta-2018-5Î¼m / Mimosa_daleoides-7-Medina-Acosta-2018-2Î¼m / Mimosa_daleoides-8-Medina-Acosta-2018-2Î¼m / Mimosa_daleoides-9-Medina-Acosta-2018-0.5Î¼m / Mimosa_daleoides-10-Medina-Acosta-2018-1Î¼m
Mimosa dalyi,Santos-Silva - 2013,,,Mimosa dalyi,Mimosa_dalyi,Mimosa,dalyi,,Species,4,elliptical,rhomboidal,uniplanar,,,11.8,14.000,13.000,14.800,17.000,15.600,,,,,,,,,M. Nee 37871,NY,,,Mimosa_dalyi-Santos-Silva-2013-10Î¼m
Mimosa debilis var. debilis,Lima - 2008,,,Mimosa debilis var. debilis,Mimosa_debilis_debilis,Mimosa,debilis,debilis,Variety,4,,decussate&tetrahedral,multiplanar,areolate,,10,11.000,10.200,10.000,11.000,10.700,,,,0.800,0.800,0.800,,,T.S. Nunes et al. 1027,HUEFS,,,Mimosa_debilis_var. debilis-Lima-2008-5Î¼m
Mimosa dichroa,Santos-Silva - 2013,,,Mimosa dichroa,Mimosa_dichroa,Mimosa,dichroa,,Species,8,elliptical,tetragonal,multiplanar,,,8.5,9.000,8.900,10.000,11.000,10.500,,,,,,,,,G. Pereira-Silva 4565 / H.G.P. dos Santos 424,CEN / UEC,,,Mimosa_dichroa-Santos-Silva-2013-10Î¼m
Mimosa diplotricha var. diplotricha,LiauKang,26,x,Mimosa diplotricha var. diplotricha,Mimosa_diplotricha_diplotricha,Mimosa,diplotricha,diplotricha,Variety,4,elliptical,rhomboidal,uniplanar,microverrucate,,23.661,28.220,25.966,29.943,40.221,34.061,1.044,1.670,1.357,0.835,1.337,1.086,,,"Kuntz, J. 445",ESA,,,
Mimosa dolens var. dolens,LiauKang,63,x,Mimosa dolens var. dolens,Mimosa_dolens_dolens,Mimosa,dolens,dolens,Variety,4,circular,tetrahedral,multiplanar,verrucate,,10.385,13.539,11.988,11.566,14.235,13.169,0.204,0.323,0.264,0.204,0.306,0.268,,,,,,,
Mimosa dryandroides,LiauKang,39,x,Mimosa dryandoides,Mimosa_dryandroides,Mimosa,dryandroides,,Species,4,elliptical,decussate&tetrahedral,multiplanar,areolate&verrucate,,7.305,9.840,8.682,11.648,15.195,13.117,0.522,0.669,0.596,0.148,0.330,0.239,,,J. M. 38180 ( ESA 129629),ESA,,,
Mimosa elliptica,Freitas-Cruz - 2018,,,Mimosa elliptica,Mimosa_elliptica,Mimosa,elliptica,,Species,8,,rhomboidal,multiplanar,rugulate,3&4,20,22.500,22.000,27.500,32.500,27.800,,,,2.000,2.000,2.000,1.000,1.000,Sampaio 1325,R,,,Mimosa_elliptica-Cruz-2018-5Î¼m / Mimosa_elliptica-2-Cruz-2018-5Î¼m / Mimosa_elliptica-3-Cruz-2018-5Î¼m
Mimosa ephedroides,Caccavari - 2002,,,Mimosa ephedroides,Mimosa_ephedroides,Mimosa,ephedroides,,Species,8,oval,tetragonal,multiplanar,,,,,,,,18.000,,,,,,,,,Sayago 2427,SI,,,Mimosa_ephedroides-Caccavari-2002-10Âµm
Mimosa exalbescens,Lima - 2008,,,Mimosa exalbescens,Mimosa_exalbescens,Mimosa,exalbescens,,Species,8,,,multiplanar,areolate&verrucate,,10,11.000,10.500,13.000,15.000,13.800,,,,0.500,0.500,0.500,,,F. FranÃ§a et al. 3865,HUEFS,,,Mimosa_exalbescens-Lima-2008-5Î¼m
Mimosa fiebrigii,Santos-Silva - 2013,,,Mimosa fiebrigii,Mimosa_fiebrigii,Mimosa,fiebrigii,,Species,4,elliptical,rhomboidal,uniplanar,,,10.6,16.500,14.500,15.600,20.500,17.100,,,,,,,,,J. S. Silva and G. H. Shimizu 911 / S. A. Faria and H. C. Lima s.n.,UEC / SMF 1432,,,Mimosa_fiebrigii-Santos-Silva-2013-10Î¼m / Mimosa_fiebrigii-2-Santos-Silva-2013-10Î¼m
Mimosa filipes,Lima - 2008,,,Mimosa filipes,Mimosa_filipes,Mimosa,filipes,,Species,4,,decussate,multiplanar,areolate&verrucate,3&4,17.5,22.500,20.500,20.000,25.000,21.700,,,,1.100,1.100,1.100,,,L.C.L. Lima et al. 170 / L.C.L. Lima et al. 176,HUEFS / HUEFS,,,
Mimosa floridana,Flores-Cruz - 2006,,,Mimosa quadrivalvis var. floridana,Mimosa_floridana,Mimosa,floridana,,Species,4,elliptical,,,verrucate,,25,25.000,25.000,28.000,28.000,28.000,1.300,1.300,1.300,1.300,1.300,1.300,,,"O. Lakela 24550, 24712",TEX,,,
Mimosa foliolosa var. brevibractea,LiauKang,,x,Mimosa foliolosa var. brevibractea,Mimosa_foliolosa_brevibractea,Mimosa,foliolosa,brevibractea,Variety,4,elliptical,decussate&rhomboidal,multiplanar&uniplanar,areolate,4,12,15.000,13.000,17.500,22.500,20.100,,,,,,,,,CFCR 1061,SPF,,,
Mimosa foliolosa var. franciscana,LiauKang,,x,Mimosa foliolosa var. franciscana,Mimosa_foliolosa_franciscana,Mimosa,foliolosa,franciscana,Variety,4,elliptical,decussate&rhomboidal,multiplanar&uniplanar,areolate,4,10.9,13.000,12.500,15.500,22.500,20.600,,,,,,,,,CFCR 15241,SPF,,,
Mimosa foliolosa var. multipinna,LiauKang,,x,Mimosa foliolosa var. multipinna,Mimosa_foliolosa_multipinna,Mimosa,foliolosa,multipinna,Variety,4,elliptical,decussate&rhomboidal,multiplanar,areolate,4,12.5,15.000,13.100,17.500,22.500,19.700,,,,,,,,,W. Thomas 5794,SPF,,,
Mimosa foliolosa var. pachycarpa,LiauKang,32,x,Mimosa foliolosa var. pachycarpa,Mimosa_foliolosa_pachycarpa,Mimosa,foliolosa,pachycarpa,Variety,4,elliptical,rhomboidal,multiplanar,areolate,,10.536,17.595,13.474,15.661,22.439,18.019,0.319,0.606,0.463,0.303,0.452,0.378,,,"V. C. Souza 10280, J. Paula-Souza, V. R. Scalon, F. J. Campos 10280 (ESA 36094)",ESA,,,
Mimosa foliolosa var. paranani,LiauKang,10,x,Mimosa foliolosa var. paranani,Mimosa_foliolosa_paranani,Mimosa,foliolosa,paranani,Variety,4,elliptical,rhomboidal&tetrahedral,,areolate&microverrucate,,17.74,21.360,19.579,11.075,14.194,12.459,0.198,0.396,0.297,0.198,0.289,0.233,,,YBS76,SPSC,,,
Mimosa foliolosa var. pubescens,LiauKang,"41, 64",x,Mimosa foliolosa var. pubescens,Mimosa_foliolosa_pubescens,Mimosa,foliolosa,pubescens,Variety,4,elliptical,rhomboidal&tetrahedral,multiplanar&uniplanar,areolate&microverrucate,,11.519,14.766,13.304,17.084,21.566,19.138,0.635,1.044,0.840,0.295,0.418,0.357,,,J. Paula-Souza 4270 / M. F. Simon 2578,ESA /CEN,,,
Mimosa foliolosa var. vernicosa,LiauKang,,x,Mimosa foliolosa var. vernicosa,Mimosa_foliolosa_vernicosa,Mimosa,foliolosa,vernicosa,Species,4,elliptical,decussate&tetragonal&tetrahedral,multiplanar&uniplanar,areolate,4,10,13.700,12.120,17.500,22.500,18.80,,,,,,,,,"A. Furlan, CFCR 3208",SPF,,,
Mimosa foliolosa var. viscidula,LiauKang,,x,Mimosa foliolosa var. viscidula,Mimosa_foliolosa_viscidula,Mimosa,foliolosa,viscidula,Variety,4,elliptical,decussate,multiplanar,areolate,4,11.3,16.000,13.000,18.700,22.500,20.600,,,,,,,,,CFCR 10502,SPF,,,
Mimosa gemmulata,LiauKang/ Lima - 2008 / Santos-Silva - 2013,,,Mimosa gemmulata,Mimosa_gemmulata,Mimosa,gemmulata,,Species,4,elliptical,decussate&tetrahedral&tetragonal,uniplanar,areolate&verrucate,,9.93,20.000,15.617,14.580,25.000,21.143,,,,1.000,1.000,1.000,,,M.L.S. Guedes et al. 7934 / R. M. Harley 21116 / A. M. G. A. Tozzi and L. S. Kinoshita 526 / G. Hatschbach 55117,HUEFS / UEC / UEC / MBM,HUEFS 55378 / US 2965619 / UEC 125252 / MBM 140974,,Mimosa_gemmulata-Santos-Silva-2013-1Î¼m / Mimosa_gemmulata-2-Santos-Silva-2013-1Î¼m
Mimosa glutinosa,Santos-Silva - 2013,,,Mimosa glutinosa,Mimosa_glutinosa,Mimosa,glutinosa,,Species,4,elliptical,rhomboidal,uniplanar,,,10,14.500,12.800,16.800,20.000,18.500,,,,,,,,,J. S. Silva 857 / J. S. Silva and J. C. GalvÃ£o 852,UEC / UEC,,,Mimosa_glutinosa-Santos-Silva-2013-10Î¼m / Mimosa_glutinosa-2-Santos-Silva-2013-1Î¼m
Mimosa guilandinae var. extensissima,Caccavari - 2002,,,Mimosa guilandinae var. extensissima,Mimosa_guilandinae_extensissima,Mimosa,guilandinae,extensissima,Variety,16,elliptical,irregular arangement polyad,multiplanar,areolate,,,,,,,23.000,,,,,,,,,Schunke 1881 COL.136017,COL,,,Mimosa_guilandinae_var. extensissima-Caccavari-2002-10Âµm / Mimosa_guilandinae_var. extenssisima-2-Caccavari-2002-10Âµm / Mimosa_guilandinae_var. extenssisima-3-Caccavari-2002-10Âµm
Mimosa hapaloclada,Santos-Silva - 2013,,,Mimosa hapaloclada,Mimosa_hapaloclada,Mimosa,hapaloclada,,Species,8,elliptical,,multiplanar,,,10,17.700,15.500,19.700,24.200,22.100,,,,,,,,,F. R. Martins 16250 / G. Hatschbach 60460,UEC / MBM,,,Mimosa_hapaloclada-Santos-Silva-2013-1Î¼m
Mimosa hebecarpa,Santos-Silva - 2013,,,Mimosa hebecarpa,Mimosa_hebecarpa,Mimosa,hebecarpa,,Species,4,elliptical,rhomboidal,uniplanar,,,13,15.200,14.000,17.200,22.000,18.100,,,,,,,,,H. F. LeitÃ£o Filho 2113 / J. S. Silva and G. H. Shimizu 952,UEC / UEC,,,Mimosa_hebecarpa-Santos-Silva-2013-1Î¼m
Mimosa hexandra,Lima - 2008,,,Mimosa hexandra,Mimosa_hexandra,Mimosa,hexandra,,Species,8,,,multiplanar,areolate&verrucate,,10,11.500,10.900,13.000,16.000,14.600,,,,0.500,0.500,0.500,,,A.T.A. Rodarte 133,HUEFS,,,Mimosa_hexandra-Lima-2008-5Î¼m
Mimosa hystricina,Flores-Cruz - 2006,,,Mimosa hystricina,Mimosa_hystricina,Mimosa,hystricina,,Species,4,elliptical,decussate,multiplanar,verrucate,,24,24.000,24.000,27.000,27.000,27.000,1.300,1.300,1.300,1.300,1.300,1.300,,,D. S. Correll 32974 /  A. Lasseigne 1577,TEX / MEXU,,,Mimosa_hystricina-Flores-Cruz-2006-10Î¼m / Mimosa_hystricina-2-Flores-Cruz-2006-1Î¼m
Mimosa insignis,Santos-Silva - 2013,,,Mimosa insignis,Mimosa_insignis,Mimosa,insignis,,Species,4,elliptical,rhomboidal,uniplanar,,,11.2,13.100,12.500,13.500,20.000,16.600,,,,,,,,,J. S. Silva and G. H. Shimizu 900 / A. Pott 14130,UEC / UEC,,,Mimosa_insignis-Santos-Silva-2013-1Î¼m
Mimosa interrupta,Santos-Silva - 2013,,,Mimosa interrupta,Mimosa_interrupta,Mimosa,interrupta,,Species,4,elliptical,rhomboidal,uniplanar,,,9,13.500,10.500,15.000,19.000,17.500,,,,,,,,,A. Pott 14130 / J. A. Ratter and A. J. Santos s.n.,UEC / UEC,,,Mimosa_interrupta-Santos-Silva-2013-1Î¼m
Mimosa invisa,Buril - 2010 / Lima - 2008,,,Mimosa invisa,Mimosa_invisa,Mimosa,invisa,,Species,4,elliptical&oval,decussate&rhomboidal,multiplanar&uniplanar,areolate&verrucate,4,16.3,20.200,18.033,17.500,25.900,22.233,,,,1.000,1.400,1.200,,,E. CÃ³rdula 83 / E. CÃ³rdula 272 / L.P. Queiroz 5818,HUEFS / UFP / HUEFS,HUEFS 117731 / UFP 47423 / HUEFS 43565,,Mimosa_invisa-Buril-2010-5Î¼m / Mimosa_invisa-2-Buril-2010-5Î¼m / Mimosa_invisa-3-Buril-2010-5Î¼m / Mimosa_invisa-Buril-2010-5Î¼m / Mimosa_invisa-2-Buril-2010-5Î¼m / Mimosa_invisa-3-Buril-2010-5Î¼m / Mimosa_invisa-Lima-2008-5Î¼m
Mimosa invisa var. macrostachya,LiauKang,36,x,Mimosa invisa var. macrostachya,Mimosa_invisa_macrostachya,Mimosa,invisa,macrostachya,Variety,4,elliptical,rhomboidal,uniplanar,areolate,,15.045,20.318,16.959,19.822,27.114,23.787,0.418,0.842,0.630,0.209,0.467,0.338,,,L.V. B. bufo & P. C. Sabadim s.n.,ESA,,,
Mimosa irrigua,Lima - 2008,,,Mimosa irrigua,Mimosa_irrigua,Mimosa,irrigua,,Species,8,,,multiplanar,areolate&verrucate,,12,14.000,13.100,17.500,20.000,18.500,,,,1.000,1.000,1.000,,,M.L.S. Guedes et al. 7961,HUEFS,HUEFS 55081,,
Mimosa laniceps,LiauKang,,x,Mimosa laniceps,Mimosa_laniceps,Mimosa,laniceps,,Species,4,elliptical,decussate,multiplanar,areolate,4,12.5,17.600,13.500,17.500,22.500,21.000,,,,,,,,,Irwin 24658,SPF,,,
Mimosa laticifera,LiauKang/ Barth - 1973,45,,Mimosa laticifera,Mimosa_laticifera,Mimosa,laticifera,,Species,8,,rhomboidal,uniplanar,verrucate,3&4,10.5,22.623,15.572,14.000,28.909,20.403,0.425,1.001,0.713,0.200,0.425,0.313,,,VC Souza 15003 (ESA 44188) / O. M. Barth 808,ESA / ?,,,
Mimosa latidens,Flores-Cruz - 2006,,,Mimosa latidens,Mimosa_latidens,Mimosa,latidens,,Species,4,elliptical,decussate,multiplanar,verrucate,,30,30.000,30.000,33.000,33.000,33.000,1.300,1.300,1.300,1.300,1.300,1.300,,,R. Runyon 3790 / A. Heller 1179 / Rzedowski 4578 / D. Flyr 1552,TEX / BRIT / ENCB / TEX,,,Mimosa_latidens-Flores-Cruz-2006-10Î¼m
Mimosa lepidophora,Lima - 2008,,,Mimosa lepidophora,Mimosa_lepidophora,Mimosa,lepidophora,,Species,12,,irregular arangement polyad,multiplanar,areolate,,16,21.000,18.600,21.000,24.000,22.700,,,,1.100,1.100,1.100,,,L.P. Queiroz et al. 9666,HUEFS,,,Mimosa_lepidophora-Lima-2008-5Î¼m / Mimosa_lepidophora-2-Lima-2008-5Î¼m / Mimosa_lepidophora-3-Lima-2008-5Î¼m
Mimosa lewisii,Lima - 2008,,,Mimosa lewisii,Mimosa_lewisii,Mimosa,lewisii,,Species,4,,decussate,multiplanar,areolate&verrucate,,15,17.500,17.100,20.000,25.500,23.500,,,,1.100,1.100,1.100,,,L.C.L. Lima et al. 171 / L.C.L. Lima et al. 178,HUEFS / HUEFS,,,
Mimosa maguirei,LiauKang,,x,Mimosa maguirei,Mimosa_maguirei,Mimosa,maguirei,,Species,4,elliptical,decussate&tetrahedral,multiplanar,areolate,4,12.5,15.000,13.100,17.500,21.300,19.700,,,,,,,,,M.L.O. TrovÃ³ 417,SPF,,,
Mimosa manidea,LiauKang,4,x,Mimosa manidea,Mimosa_manidea,Mimosa,manidea,,Species,4,elliptical,decussate&tetrahedral,multiplanar,areolate,4,8.646,13.700,9.976,11.192,20.000,15.647,0.200,0.448,0.324,0.100,0.200,0.150,,,YBS74 / M.L.O. TrovÃ³ 462,SPSC / SPF,SPF 189849,,
Mimosa mensicola,Lima - 2008 / Santos-Silva - 2013,,,Mimosa mensicola,Mimosa_mensicola,Mimosa,mensicola,,Species,8,elliptical,,multiplanar,areolate&verrucate,,11,12.000,11.400,13.000,17.000,14.750,,,,1.000,1.000,1.000,,,F. FranÃ§a et al. 2840 / F. FranÃ§a 4687,HUEFS / HUEFS,HUEFS 37498 / HUEFS 74892,,
Mimosa misera,Lima - 2008,,,Mimosa misera,Mimosa_misera,Mimosa,misera,,Species,4,,rhomboidal,uniplanar,areolate&verrucate,,16.3,22.500,20.100,25.000,27.500,25.900,,,,1.100,1.100,1.100,,,L.C.L. Lima et al. 169 / L.C.L. Lima et al. 177,HUEFS / HUEFS,,,Mimosa_misera-Lima-2008-5Î¼m
Mimosa modesta,Lima - 2008,,,Mimosa modesta,Mimosa_modesta,Mimosa,modesta,,Species,4,,decussate&tetrahedral,multiplanar,areolate,,9,10.000,9.300,9.500,10.000,9.900,,,,0.700,0.700,0.700,,,A. Oliveira et al. 78,HUEFS,,,Mimosa_modesta-Lima-2008-5Î¼m / Mimosa_modesta-2-Lima-2008-5Î¼m
Mimosa morroensis,Lima - 2008,,,Mimosa morrÃ¶ensis,Mimosa_morroensis,Mimosa,morroensis,,Species,4,,decussate&tetrahedral,multiplanar,areolate&verrucate,3&4,8.5,9.500,9.000,10.000,12.000,11.000,,,,0.600,0.600,0.600,,,J.G.A. Nascimento & M.C. Machado 244,HUEFS,,,
Mimosa myrioglandulosa,LiauKang,11,x,Mimosa myrioglandulosa,Mimosa_myrioglandulosa,Mimosa,myrioglandulosa,,Species,4,elliptical,rhomboidal&tetragonal,multiplanar&uniplanar,areolate,,8.18,13.037,11.292,14.809,19.363,16.750,0.308,0.478,0.393,0.230,0.283,0.257,,,YBS91,SPSC,,,
Mimosa nothopteris,Santos-Silva - 2013,,,Mimosa nothopteris,Mimosa_nothopteris,Mimosa,nothopteris,,Species,4,elliptical,,multiplanar,,,10,15.000,13.000,10.500,18.400,16.500,,,,,,,,,G. P. Lewis and H. P. N. Pearson 1074,RB,,,Mimosa_nothopteris-Santos-Silva-2013-1Î¼m
Mimosa obstrigosa,Caccavari - 2002,,,Mimosa obstrigosa,Mimosa_obstrigosa,Mimosa,obstrigosa,,Species,4,,tetrahedral,multiplanar,,,,,,,,10.000,,,,,,,,,Burkart 15444,SI,,,Mimosa_obstrigosa-Caccavari-2002-10Âµm
Mimosa occidentalis,Medina-Acosta-2018,,,Mimosa occidentalis,Mimosa_occidentalis,Mimosa,occidentalis,,Species,4,circular&elliptical,tetrahedral,multiplanar,microverrucate,3,10,10.000,10.000,15.100,15.100,15.100,0.750,0.750,0.750,0.870,0.870,0.870,,,E. MartÃ­nez S. 36905 / S. Zamudio R. et al. 550 / R. Grether et al. 1361,MEXU1174698 / UAMIZ48112 / UAMIZ14179,,,Mimosa_occidentalis-Medina-Acosta-2018-5Î¼m / Mimosa_occidentalis-2-Medina-Acosta-2018-5Î¼m / Mimosa_occidentalis-3-Medina-Acosta-2018-2Î¼m / Mimosa_occidentalis-4-Medina-Acosta-2018-1Î¼m / Mimosa_occidentalis-5-Medina-Acosta-2018-2Î¼m / Mimosa_occidentalis-6-Medina-Acosta-2018-1Î¼m / Mimosa_occidentalis-7-Medina-Acosta-2018-0.5Î¼m
Mimosa oedoclada,LiauKang,1,x,Mimosa oedoclada,Mimosa_oedoclada,Mimosa,oedoclada,,Species,4,elliptical,tetrahedral&rhomboidal,multiplanar&uniplanar,areolate,,9.849,12.250,10.879,15.035,17.984,16.551,0.418,0.577,0.498,0.330,0.752,0.541,,,YBS73,SPSC,,,
Mimosa ophthalmocentra,Buril - 2010 / Lima - 2008 / Santos-Silva - 2013,,,Mimosa ophthalmocentra,Mimosa_ophthalmocentra,Mimosa,ophthalmocentra,,Species,8,elliptical,tetragonal,multiplanar,areolate&verrucate,3&4&5,7.1,12.800,9.875,10.500,19.600,13.800,,,,0.600,0.600,0.600,,,L.C.L. Lima 180 / M.F. Simon 701 / M.J.S. Lemos et al. 142 / J. S. Silva 838 / Y. Melo 214,HUEFS / HUEFS / HUEFS / UEC / UFP,HUEFS 97662 / HUEFS 117269 / HUEFS 52488 / SPF 221499 (J. S. Silva 838),,Mimosa_ophtalmocentra-Buril-2010-5Î¼m / Mimosa_ophtalmocentra-2-Buril-2010-5Î¼m / Mimosa_ophtalmocentra-3-Buril-2010-5Î¼m / Mimosa_ophtalmocentra-Buril-2010-5Î¼m / Mimosa_ophtalmocentra-2-Buril-2010-5Î¼m / Mimosa_ophtalmocentra-3-Buril-2010-5Î¼m / Mimosa_ophthalmocentra-Santos-Silva-2013-10Î¼m / Mimosa_ophthalmocentra-2-Santos-Silva-2013-SEM_ESCALA
Mimosa paludosa,LiauKang/ Lima - 2008 / LiauKang,12,,Mimosa paludosa / Mimosa setosa var. paludosa,Mimosa_paludosa,Mimosa,paludosa,,Species,4,elliptical,decussate&tetrahedral,multiplanar,areolate&verrucate,4,12.5,20.000,15.500,18.800,25.000,22.550,,,,,,1.000,,,YBS89 / A.S. ConceiÃ§Ã£o et al. 411 / Pirani 2233,SPSC / HUEFS  / SPF,HUEFS 40189 / SPF 60797,,
