scientific_name_(check),reference,amostra_stefany,new_description_stefany,scientific_name_(original),name_phylogeny,genus,specific_Epithet,infraspecific_Epithet,rank,grains,outline,pollen_arrangement,DU_planes,ornamentation,pore_number,shorter_diameter_min,shorter_diameter_max,shorter_diameter_mean,longer_diameter_min,longer_diameter_max,longer_diameter_mean,pore_diameter_min,pore_diameter_max,pore_diameter_mean,exine_thickness_min,exine_thickness_max,exine_thickness_mean,sexine_thickness_mean,nexine_thickness_mean,voucher,herbarium,herbarium_code,voucher_review,image_of_literature
Gwilymia paniculatum,Guinet & Caccavari - 1992,,,Stryphnodendron paniculatum / Stryphnodendron rizzinianum,Gwilymia_paniculatum,Gwilymia,paniculatum,,Species,16,oval,,,areolate&fossulate,,36.2,36.200,,44.500,44.500,44.500,3.200,5.500,4.350,1.500,2.000,1.750,,,Ducke s.n. (5.07.1936) / Krukoff 6441 / Ducke s.n. (7.11.1935),US / RB / RB,US 1694148 / RB 32083 / RB 29044,,Stryphnodendron_paniculatum-1-Guinet & Caccavari-1992-x1000 / Stryphnodendron_paniculatum-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_paniculatum-3-Guinet & Caccavari-1992-x10600 / Stryphnodendron_rizzinianum-1-Guinet & Caccavari-1992-x1000 / Stryphnodendron_rizzinianum-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_rizzinianum-3-Guinet & Caccavari-1992-x1000 / Stryphnodendron_rizzinianum-4-Guinet & Caccavari-1992-x1000
Gwilymia polystachyum,Guinet & Caccavari - 1992,,,Stryphnodendron polystachyum,Gwilymia_polystachyum,Gwilymia,polystachyum,,Species,8,elliptical&oval,irregular arangement polyad,,verrucate,,32,32.000,34.100,46.600,46.600,46.600,3.200,3.500,3.350,1.400,2.000,1.700,,,Irwin et al. 48381 / Irwin et al. 55179,NY / NY,,,Stryphnodendron_polystachyum-1-Guinet & Caccavari-1992-x1000 / Stryphnodendron_polystachyum-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_polystachyum-3-Guinet & Caccavari-1992-x1000 / Stryphnodendron_polystachyum-4-Guinet & Caccavari-1992-x1000
Gwilymia racemiferum,Guinet & Caccavari - 1992,,,Stryphnodendron racemiferum,Gwilymia_racemiferum,Gwilymia,racemiferum,,Species,16,elliptical&oval,,,areolate&reticulate,,35.4,35.400,34.100,55.000,55.000,55.000,3.200,5.500,4.350,1.500,2.000,1.750,,,Prance et al. 3613,K,,,Stryphnodendron_racemiferum-1-Guinet & Caccavari-1992-x1000 / Stryphnodendron_racemiferum-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_racemiferum-2-Guinet & Caccavari-1992-x1000 / Stryphnodendron_racemiferum-4-Guinet & Caccavari-1992-x1000 / Stryphnodendron_racemiferum-5-Guinet & Caccavari-1992-x10600
Inga edulis,Almeida Braga - 2012,,,Inga edulis,Inga_edulis,Inga,edulis,,Species,32,,,,verrucate,,50,50.000,50.000,100.000,100.000,100.000,,,,1.700,1.700,1.700,,,?,RBR,,,Inga_edulis-AlmeidaBraga-2012-400x
Lachesiodendron viridiflorum,LiauKang,15,,Lachesiodendron viridiflorum,Lachesiodendron_viridiflorum,Lachesiodendron,viridiflorum,,Species,8,,tetrahedral,,verrucate,,18,32.000,24.071,26.000,44.000,35.739,1.036,1.626,1.331,0.660,1.044,0.852,,,A. Salino 3306 / Carvalho 3953 / Queiroz 7828 / Salino 3306,ESA / HUEFS / HUEFS / HUEFS,HUEFS 35810 / HUEFS 16194 / HUEFS 72586 / HUEFS 35810,,Lachesiodendron_viridiflorum-Ribeiro-2018-10Î¼m / Lachesiodendron_viridiflorum-2-Ribeiro-2018-10Î¼m / Lachesiodendron_viridiflorum-3-Ribeiro-2018-10Î¼m / Lachesiodendron_viridiflorum-4-Ribeiro-2018-10Î¼m
Marlimorimia bahiana,Caccavari - 2002 / Ribeiro - 2018,,,Pseudopiptadenia bahiana,Marlimorimia_bahiana,Marlimorimia,bahiana,,Species,16,oval,,,psilate,,27.5,37.500,32.700,30.000,50.000,40.575,,,,1.000,1.000,1.000,,,Mori et King 12188 / Queiroz 9574 / Queiroz 9970 / Queiroz 9989,RB / HUEFS / HUEFS / HUEFS,US 2857049 / HUEFS 86067 / HUEFS 91287 / HUEFS 91307,,Pseudopiptadenia_bahiana-Ribeiro-2018-10Î¼m / Pseudopiptadenia_bahiana-2-Ribeiro-2018-10Î¼m / Pseudopiptadenia_bahiana-3-Ribeiro-2018-10Î¼m / Pseudopiptadenia_bahiana-4-Ribeiro-2018-10Î¼m
Marlimorimia contorta,LiauKang/ Caccavari - 2002 / Ribeiro - 2018,53,,Pseudopiptadenia contorta,Marlimorimia_contorta,Marlimorimia,contorta,,Species,16,oval,,,psilate,,16.872,37.500,27.513,30.000,47.500,37.520,0.522,0.815,0.669,,,0.605,,,Francisco de S. N. ThomÃ© 03 / Ortandi 305 / Hatschbach 35398 / Queiroz 3700 / Queiroz 4234,ESA / RB / HUEFS / HUEFS / HUEFS,UB 140360 / HUEFS 146828 / HUEFS 14919 / HUEFS 18663,,Pseudopiptadenia_contorta-Ribeiro-2018-10Î¼m / Pseudopiptadenia_contorta-2-Ribeiro-2018-10Î¼m / Pseudopiptadenia_contorta-3-Ribeiro-2018-10Î¼m / Pseudopiptadenia_contorta-4-Ribeiro-2018-10Î¼m
Marlimorimia psilostachya,Caccavari - 2002,,,Pseudopiptadenia psilostachya,Marlimorimia_psilostachya,Marlimorimia,psilostachya,,Species,16,oval,,,,,,,,,,40.000,,,,,,,,,A. Ducke 15334,RB,,,
Marlimorimia warmingii,Barth & Yoneshigue - 1966,,,Newtonia glaziovii,Marlimorimia_warmingii,Marlimorimia,warmingii,,Species,12&16,elliptical&oval,irregular arangement polyad,,psilate,4,33.6,42.000,37.800,40.000,52.500,46.250,2.500,,2.500,,,2.500,,0.800,Reitz e Klein 5608,HBR,HBR 25859,,
Microlobius foetidus,LiauKang/ Caccavari - 2002,58,,Microlobius foetidus / Microlobius foetidus subs. paraguensis,Microlobius_foetidus,Microlobius,foetidus,,Species,8,oval,tetrahedral,multiplanar,verrucate scabrate,,14.038,21.800,17.275,18.232,33.311,24.679,0.330,0.753,0.542,0.148,0.295,0.222,,,A. M. de Almeida 236 / Rojas 1787,CEN / SI,CEN 89347 / MO 2187576,,Microlobius_foetidus-Caccavari-2002-10Âµm / Microlobius_foetidus-2-Caccavari-2002-10Âµm / Microlobius_foetidus-3-Caccavari-2002-10Âµm
