cleaned_name,source,sample,new_description,scientific_name_original,scientific_name_check,genus,specific_epithet,infraspecific_epithet,rank,grains,outline,pollen_arrangement,ornamentation,pore_number,longer_diameter_mean,shorter_diameter_mean,pore_diameter_mean,exine_thickness_mean,sexine_thickness_mean,nexine_thickness_mean
Mimosa_claussenii_claussenii,Goicochea,NA,x,Mimosa claussenii var. claussenii ,Mimosa claussenii var. claussenii,Mimosa,claussenii,claussenii,Variety,2,1,0&4&5,0,1,16.25,13.75,0.515,0.39,NA,NA
Mimosa_claussenii_claviceps,Goicochea,NA,x,Mimosa claussenii var. claviceps ,Mimosa claussenii var. claviceps,Mimosa,claussenii,claviceps,Variety,2,1,0,0,1,23,14.3,0.62,0.4,NA,NA
Mimosa_claussenii_megistophylla,Goicochea,NA,x,Mimosa claussenii var. megistophylla,Mimosa claussenii var. megistophylla,Mimosa,claussenii,megistophylla,Variety,2,1,0,0,NA,20.4,12.9,0.585,0.45,NA,NA
Mimosa_claussenii_prorsiseta,Goicochea,NA,x,Mimosa claussenii var. prorsiseta,Mimosa claussenii var. prorsiseta,Mimosa,claussenii,prorsiseta,Variety,2,1,0&4&5,0,NA,27.53,16.49,0.595,0.63,NA,NA
Mimosa_cordistipula,Lima et al. 2008,NA,NA,Mimosa cordistipula ,Mimosa cordistipula,Mimosa,cordistipula,NA,Species,2,NA,0,0&4,NA,26.1,21.7,NA,1,NA,NA
Mimosa_coruscocaesia,Santos-Silva et al. 2013,NA,NA,Mimosa coruscocaesia ,Mimosa coruscocaesia,Mimosa,coruscocaesia,NA,Species,2,1,3,NA,NA,19.7,13.8,NA,NA,NA,NA
Mimosa_craspedisetosa,Santos-Silva et al. 2013,NA,NA,Mimosa craspedisetosa / Mimosa ferricola,Mimosa craspedisetosa,Mimosa,craspedisetosa,NA,Species,2,1,3,NA,NA,15.25,12.2,NA,NA,NA,NA
Mimosa_cruenta,Goicochea,46,NA,Mimosa cruenta ,Mimosa cruenta,Mimosa,cruenta,NA,Species,2,1,5,1&2,NA,14.905,9.537,0.781,0.157,NA,NA
Mimosa_daleoides,Medina-Acosta-2018,NA,NA,Mimosa daleoides ,Mimosa daleoides,Mimosa,daleoides,NA,Species,2,NA,4,4,1&2,32.54,31.27,3.55,1.57,NA,NA
Mimosa_dalyi,Santos-Silva et al. 2013,NA,NA,Mimosa dalyi ,Mimosa dalyi,Mimosa,dalyi,NA,Species,2,1,3,NA,NA,15.6,13,NA,NA,NA,NA
Mimosa_debilis_debilis,Lima et al. 2008,NA,NA,Mimosa debilis var. debilis ,Mimosa debilis var. debilis,Mimosa,debilis,debilis,Variety,2,NA,0&5,0,NA,10.7,10.2,NA,0.8,NA,NA
Mimosa_dichroa,Santos-Silva et al. 2013,NA,NA,Mimosa dichroa ,Mimosa dichroa,Mimosa,dichroa,NA,Species,3,1,4,NA,NA,10.5,8.9,NA,NA,NA,NA
Mimosa_diplotricha_diplotricha,Goicochea,26,x,Mimosa diplotricha var. diplotricha ,Mimosa diplotricha var. diplotricha,Mimosa,diplotricha,diplotricha,Variety,2,1,3,1,NA,34.061,25.966,1.357,1.086,NA,NA
Mimosa_dolens_dolens,Goicochea,63,NA,Mimosa dolens var. dolens,Mimosa dolens var. dolens,Mimosa,dolens,dolens,Variety,2,0,5,4,NA,13.169,11.988,0.264,0.268,NA,NA
Mimosa_dryandroides,Goicochea,39,x,Mimosa dryandoides ,Mimosa dryandroides,Mimosa,dryandroides,NA,Species,2,1,0&5,0&4,NA,13.117,8.682,0.596,0.239,NA,NA
Mimosa_elliptica,de Freitas Cruz et al. 2018,NA,NA,Mimosa elliptica ,Mimosa elliptica,Mimosa,elliptica,NA,Species,3,NA,3,2,0&1,27.8,22,NA,2,1,1
Mimosa_ephedroides,Caccavari 2002,NA,NA,Mimosa ephedroides ,Mimosa ephedroides,Mimosa,ephedroides,NA,Species,3,2,4,NA,NA,18,NA,NA,NA,NA,NA
Mimosa_exalbescens,Lima et al. 2008,NA,NA,Mimosa exalbescens ,Mimosa exalbescens,Mimosa,exalbescens,NA,Species,3,NA,NA,0&4,NA,13.8,10.5,NA,0.5,NA,NA
Mimosa_fiebrigii,Santos-Silva et al. 2013,NA,NA,Mimosa fiebrigii ,Mimosa fiebrigii,Mimosa,fiebrigii,NA,Species,2,1,3,NA,NA,17.1,14.5,NA,NA,NA,NA
Mimosa_filipes,Lima et al. 2008,NA,NA,Mimosa filipes ,Mimosa filipes,Mimosa,filipes,NA,Species,2,NA,0,0&4,0&1,21.7,20.5,NA,1.1,NA,NA
Mimosa_floridana,Flores-Cruz - 2006,NA,NA,Mimosa quadrivalvis var. floridana ,Mimosa floridana,Mimosa,floridana,NA,Species,2,1,NA,4,NA,28,25,1.3,1.3,NA,NA
Mimosa_foliolosa_brevibractea,Goicochea,NA,x,Mimosa foliolosa var. brevibractea ,Mimosa foliolosa var. brevibractea,Mimosa,foliolosa,brevibractea,Variety,2,1,0&3,0,1,20.1,13,0.55,0.36,NA,NA
Mimosa_foliolosa_franciscana,Goicochea,NA,x,Mimosa foliolosa var. franciscana ,Mimosa foliolosa var. franciscana,Mimosa,foliolosa,franciscana,Variety,2,1,0&3,0,1,20.6,12.5,0.495,0.42,NA,NA
Mimosa_foliolosa_multipinna,Goicochea,NA,x,Mimosa foliolosa var. multipinna ,Mimosa foliolosa var. multipinna,Mimosa,foliolosa,multipinna,Variety,2,1,0&3,0,1,19.7,13.1,0.59,0.5,NA,NA
Mimosa_foliolosa_pachycarpa,Goicochea,32,x,Mimosa foliolosa var. pachycarpa ,Mimosa foliolosa var. pachycarpa,Mimosa,foliolosa,pachycarpa,Variety,2,1,3,0,NA,18.019,13.474,0.415,0.37,NA,NA
