cleaned_name,source,sample,new_description,scientific_name_original,scientific_name_check,genus,specific_epithet,infraspecific_epithet,rank,grains,outline,pollen_arrangement,ornamentation,pore_number,longer_diameter_mean,shorter_diameter_mean,pore_diameter_mean,exine_thickness_mean,sexine_thickness_mean,nexine_thickness_mean
Mimosa_spirocarpa,Medina-Acosta-2018,NA,NA,Mimosa spirocarpa ,Mimosa spirocarpa,Mimosa,spirocarpa,NA,Species,3,1,5,1&2,0&1,13.68,10.53,0.75,0.87,NA,NA
Mimosa_spixiana,Santos-Silva et al. 2013,NA,NA,Mimosa spixiana ,Mimosa spixiana,Mimosa,spixiana,NA,Species,2,1,0&5,NA,NA,18.2,16,NA,NA,NA,NA
Mimosa_strobiliflora,Goicochea,31,x,Mimosa strobiflora ,Mimosa strobiliflora,Mimosa,strobiliflora,NA,Species,2,1,0&3,4,NA,20.16,13.784,1.124,0.333,NA,NA
Mimosa_subenervis,Lima et al. 2008,NA,NA,Mimosa subenervis ,Mimosa subenervis,Mimosa,subenervis,NA,Species,2,NA,0,0&4,0&1,28.5,21.7,NA,1,NA,NA
Mimosa_subinermis,Flores-Cruz - 2006,NA,NA,Mimosa subinermis,Mimosa subinermis,Mimosa,subinermis,NA,Species,2,1,0,NA,NA,30,26,NA,NA,NA,NA
Mimosa_taimbensis,Barth & Yoneshigue 1966,NA,NA,Mimosa taimbensis,Mimosa taimbensis,Mimosa,taimbensis,NA,Species,2,0,0,3,2,19,11.9,1.7,1.2,NA,0.8
Mimosa_tandilensis,Caccavari 2002,NA,NA,Mimosa tandilensis ,Mimosa tandilensis,Mimosa,tandilensis,NA,Species,2,1,NA,4,NA,31,NA,NA,NA,NA,NA
Mimosa_tenuiflora,Buril et al. 2010; Lima et al. 2008; Santos-Silva et al. 2013; Goicochea,47,NA,Mimosa tenuiflora,Mimosa tenuiflora,Mimosa,tenuiflora,NA,Species,2,NA,0&5,0&5,1,20.373,14.063,0.355,0.505,NA,NA
Mimosa_tetragona,Flores-Cruz - 2006,NA,NA,Mimosa tetragona ,Mimosa tetragona,Mimosa,tetragona,NA,Species,2,1,0,1,NA,30,25,NA,NA,NA,NA
Mimosa_trianae,Santos-Silva et al. 2013,NA,NA,Mimosa trianae ,Mimosa trianae,Mimosa,trianae,NA,Species,1&2,1,NA,NA,NA,15.5,14,NA,NA,NA,NA
Mimosa_ulbrichiana,Lima et al. 2008,NA,NA,Mimosa ulbrichiana ,Mimosa ulbrichiana,Mimosa,ulbrichiana,NA,Species,2,NA,0&3,0&4,0&1,26.8,20.5,NA,1,NA,NA
Mimosa_ulei_ulei,Goicochea,NA,x,Mimosa ulei var. ulei ,Mimosa ulei var. ulei,Mimosa,ulei,ulei,Variety,2,1,0&5,0,1,18.4,11.4,0.3,0.57,NA,NA
Mimosa_ursina,Lima et al. 2008,NA,NA,Mimosa ursina,Mimosa ursina,Mimosa,ursina,NA,Species,0&1,NA,NA,0,0,18.15,16,3.6,1.7,NA,NA
Mimosa_velloziana,Lima et al. 2008,NA,NA,Mimosa velloziana ,Mimosa velloziana,Mimosa,velloziana,NA,Species,2,NA,0&5,0,NA,10.4,9.9,NA,0.5,NA,NA
Mimosa_verrucosa,Lima et al. 2008; Santos-Silva et al. 2013,NA,NA,Mimosa verrucosa,Mimosa verrucosa,Mimosa,verrucosa,NA,Species,2,1,0,0&4,NA,19.1,13.65,NA,1,NA,NA
Mimosa_watsonii,Medina-Acosta-2018,NA,NA,Mimosa watsonii ,Mimosa watsonii,Mimosa,watsonii,NA,Species,4,1,2,1&2,0,20.7,14.54,0.86,0.75,NA,NA
Mimosa_xavantinae,Santos-Silva et al. 2013,NA,NA,Mimosa xavantinae ,Mimosa xavantinae,Mimosa,xavantinae,NA,Species,2,1,NA,NA,NA,14.5,13,NA,NA,NA,NA
Mimosa_xiquexiquensis,Lima et al. 2008,NA,NA,Mimosa xiquexiquensis ,Mimosa xiquexiquensis,Mimosa,xiquexiquensis,NA,Species,2,NA,0&5,0&4,0&1,16.6,13,NA,0.5,NA,NA
